fpr,tpr
0.0,0.0
0.0,0.006502890173410405
0.0002055076037813399,0.007947976878612716
0.0002055076037813399,0.008670520231213872
0.0002055076037813399,0.011560693641618497
0.0006165228113440197,0.018063583815028903
0.0008220304151253596,0.022398843930635837
0.0008220304151253596,0.024566473988439308
0.0010275380189066995,0.030346820809248554
0.0010275380189066995,0.03106936416184971
0.0012330456226880395,0.03684971098265896
0.0018495684340320592,0.05057803468208093
0.003904644471845458,0.07297687861271676
0.003904644471845458,0.07586705202312138
0.003904644471845458,0.08236994219653179
0.003904644471845458,0.08670520231213873
0.003904644471845458,0.08815028901734104
0.003904644471845458,0.09393063583815028
0.004521167283189478,0.10549132947976879
0.004726674886970818,0.10838150289017341
0.004932182490752158,0.10910404624277456
0.004932182490752158,0.11054913294797687
0.009042334566378957,0.1546242774566474
0.011097410604192354,0.1893063583815029
0.012535963830661735,0.21676300578034682
0.012535963830661735,0.21820809248554912
0.012741471434443074,0.21893063583815028
0.012741471434443074,0.21965317919075145
0.012946979038224414,0.2239884393063584
0.012946979038224414,0.22471098265895953
0.013152486642005754,0.2254335260115607
0.013357994245787094,0.22760115606936415
0.013357994245787094,0.2319364161849711
0.013769009453349773,0.2319364161849711
0.01952322235922729,0.2940751445086705
0.01972872996300863,0.2976878612716763
0.01972872996300863,0.2984104046242775
0.01972872996300863,0.29985549132947975
0.01972872996300863,0.30057803468208094
0.02178380600082203,0.31647398843930635
0.02178380600082203,0.3179190751445087
0.02281134401972873,0.33815028901734107
0.02301685162351007,0.3388728323699422
0.02322235922729141,0.3388728323699422
0.02383888203863543,0.3453757225433526
0.02404438964241677,0.34898843930635837
0.02424989724619811,0.34971098265895956
0.024455404849979448,0.351878612716763
0.02466091245376079,0.351878612716763
0.02507192766132347,0.3554913294797688
0.02692149609535553,0.36054913294797686
0.02692149609535553,0.36127167630057805
0.02836004932182491,0.3627167630057804
0.028565556925606247,0.3663294797687861
0.02877106452938759,0.36777456647398843
0.029182079736950268,0.3706647398843931
0.029798602548294285,0.37283236994219654
0.029798602548294285,0.3735549132947977
0.030004110152075627,0.3735549132947977
0.030415125359638306,0.37427745664739887
0.030415125359638306,0.3764450867052023
0.032675709001233046,0.38078034682080925
0.032675709001233046,0.38222543352601157
0.03308672420879573,0.3872832369942196
0.04726674886970818,0.4060693641618497
0.047472256473489516,0.407514450867052
0.04870530209617756,0.41184971098265893
0.05055487053020962,0.4125722543352601
0.05055487053020962,0.4147398843930636
0.051171393341553635,0.41835260115606937
0.05281545417180436,0.42196531791907516
0.05363748458692972,0.4241329479768786
0.054870530209617754,0.4241329479768786
0.05528154541718044,0.4241329479768786
0.05528154541718044,0.42485549132947975
0.055487053020961775,0.4263005780346821
0.05651459103986847,0.4277456647398844
0.05733662145499383,0.42991329479768786
0.07295519934237567,0.4588150289017341
0.07295519934237567,0.4595375722543353
0.07439375256884505,0.46170520231213874
0.07459926017262639,0.46315028901734107
0.07480476777640772,0.46604046242774566
0.0752157829839704,0.4667630057803468
0.07542129058775175,0.4667630057803468
0.07542129058775175,0.467485549132948
0.07542129058775175,0.4689306358381503
0.0793259350595972,0.4761560693641618
0.083436087135224,0.4833815028901734
0.0926839293053843,0.49783236994219654
0.09391697492807234,0.5
0.10234278668310727,0.5130057803468208
0.10254829428688861,0.5130057803468208
0.10316481709823264,0.5144508670520231
0.10316481709823264,0.5151734104046243
0.10645293875873407,0.5202312138728323
0.10686395396629675,0.5209537572254336
0.10789149198520345,0.5238439306358381
0.10891903000411016,0.5260115606936416
0.10891903000411016,0.5267341040462428
0.11097410604192355,0.528179190751445
0.11138512124948623,0.5289017341040463
0.11220715166461159,0.5317919075144508
0.11241265926839293,0.5317919075144508
0.11487875051376902,0.536849710982659
0.11528976572133169,0.536849710982659
0.11570078092889437,0.5375722543352601
0.1159062885326757,0.5397398843930635
0.1272092067406494,0.5498554913294798
0.1442663378545006,0.5664739884393064
0.14734895191122072,0.5736994219653179
0.14817098232634607,0.5751445086705202
0.16152897657213316,0.5838150289017341
0.16173448417591452,0.5838150289017341
0.16440608302507193,0.5859826589595376
0.18783394985614468,0.6163294797687862
0.2147554459515002,0.6546242774566474
0.21537196876284423,0.6553468208092486
0.4642416769420469,0.7528901734104047
0.6718043567612002,0.898121387283237
0.6981093300452117,0.9017341040462428
1.0,1.0
